license_plate,city_name,plate_name,latitude,longitude
LB,Landkreis Ludwigsburg,LudwigsBurg,48.890277777778,9.2011111111111
LBS,Saale-Orla-Kreis,LoBenStein,50.58,11.71
LBZ,Landkreis Ludwigslust-Parchim,LüBZ,53.45,11.55
LC,Landkreis Dahme-Spreewald,LuCkau,51.941944444444,13.896388888889
LD,Landau in der Pfalz,LanDau,49.199444444444,8.1230555555556
LDK,Lahn-Dill-Kreis,Lahn-Dill-Kreis,50.560277777778,8.5001388888889
LDS,Landkreis Dahme-Spreewald,Landkreis Dahme-Spreewald,51.941944444444,13.896388888889
LEO,Landkreis Böblingen,LEOnberg,48.682222222222,9.0097222222222
LER,Landkreis Leer,LEeR,53.24,7.48
LEV,Leverkusen,LEVerkusen,51.033333333333,6.9833333333333
LF,Landkreis Altötting,LauFen,48.21,12.71
LG,Landkreis Lüneburg,LüneburG,53.23,10.57
LH,Kreis Coesfeld,LüdingHausen,51.9442,7.1744
LI,Landkreis Lindau (Bodensee),LIndau,47.6,9.86
LIB,Landkreis Elbe-Elster,LIeBenwerda,51.6925,13.235555555556
LIF,Landkreis Lichtenfels,LIchtenFels,50.11,11.12
LIP,Kreis Lippe,LIPpe,51.93619,8.847872
LK,Kreis Minden-Lübbecke,LübbecKe,52.281944444444,8.9111111111111
LL,Landkreis Landsberg am Lech,Landsberg am Lech,48.02,10.95
LM,Landkreis Limburg-Weilburg,LiMburg,50.386875,8.0595138888889
LN,Landkreis Dahme-Spreewald,LübbeN,51.941944444444,13.896388888889
LÖ,Landkreis Lörrach,LÖrrach,47.614444444444,7.6622222222222
LÖB,Landkreis Görlitz,LÖBau,51.28,14.82
LOS,Landkreis Oder-Spree,Landkreis Oder-Spree,52.24,14.22
LP,Kreis Soest,LiPpstadt,51.56,8.22
LR,Ortenaukreis,LahR,48.464722222222,7.9411111111111
LRO,Landkreis Rostock,Landkreis ROstock,53.91,12.25
LSA,Sachsen-Anhalt,Land Sachsen-Anhalt,51.971346,11.469727
LSN,Sachsen,Landtag SachseN,51.049333333333,13.738138888889
LSZ,Unstrut-Hainich-Kreis,LangenSalZa,51.19,10.55
LU,Ludwigshafen am Rhein,LUdwigshafen,49.483055555556,8.4477777777778
LÜN,Kreis Unna,LÜNen,51.578333333333,7.6366666666667
LUK,Landkreis Teltow-Fläming,LUcKenwalde,52.07,13.28
LUP,Landkreis Ludwigslust-Parchim,"LUdwigslust, Parchim",53.45,11.55
LWL,Landkreis Ludwigslust-Parchim,LudWigsLust,53.45,11.55
M,München,München,48.139722222222,11.574444444444
MA,Mannheim,MAnnheim,49.48776,8.46622
MAB,Erzgebirgskreis,MArienBerg,50.61,12.95
MAI,Landkreis Kelheim,MAInburg,48.82,11.86
MAK,Landkreis Wunsiedel im Fichtelgebirge,MArKtredwitz,50.09,12.04
MAL,Landkreis Landshut,MALlersdorf,48.56,12.2
MB,Landkreis Miesbach,MiesBach,47.74,11.81
MC,Landkreis Mecklenburgische Seenplatte,MalChin,53.55,12.98
MD,Magdeburg,MagDeburg,52.133333333333,11.616666666667
ME,Kreis Mettmann,MEttmann,51.2527,6.9714
MED,Kreis Dithmarschen,MElDorf,54.13,9.11
MEG,Schwalm-Eder-Kreis,MElsunGen,51.035,9.4008333333333
MEI,Landkreis Meißen,MEIßen,51.166666666667,13.483333333333
MEK,Erzgebirgskreis,Mittlerer ErzgebirgsKreis,50.61,12.95
MEL,Landkreis Osnabrück,MELle,52.38,8.05
MER,Saalekreis,MERseburg,51.43,11.87
MET,Landkreis Rhön-Grabfeld,MEllrichstadT,50.37,10.25
MG,Mönchengladbach,MönchenGladbach,51.19414,6.43161
MGH,Main-Tauber-Kreis,MerGentHeim,49.623055555556,9.6611111111111
MGN,Landkreis Schmalkalden-Meiningen,MeininGeN,50.63,10.4
MH,Mülheim an der Ruhr,MülHeim,51.433055555556,6.8830555555556
MHL,Unstrut-Hainich-Kreis,MüHLhausen,51.19,10.55
MI,Kreis Minden-Lübbecke,MInden,52.281944444444,8.9111111111111
MIL,Landkreis Miltenberg,MILtenberg,49.76,9.23
MK,Märkischer Kreis,Märkischer Kreis,51.262222222222,7.7127777777778
MKK,Main-Kinzig-Kreis,Main-Kinzig-Kreis,50.201111111111,9.1975
ML,Landkreis Mansfeld-Südharz,Mansfelder Land,51.54,11.36
MM,Memmingen,MemMingen,47.987777777778,10.181111111111
MN,Landkreis Unterallgäu,MiNdelheim,48.04,10.39
MO,Kreis Wesel,MOers,51.65766,6.61537
MOD,Landkreis Ostallgäu,MarktOberDorf,47.77,10.64
MOL,Landkreis Märkisch-Oderland,Märkisch-OderLand,52.61,14.15
MON,Städteregion Aachen,MONschau,50.7687,6.097
MOS,Neckar-Odenwald-Kreis,MOSbach,49.349166666667,9.1419444444444
MQ,Saalekreis,"Merseburg, Querfurt",51.43,11.87
MR,Landkreis Marburg-Biedenkopf,MaRburg,50.786173,8.771918
MS,Münster,MünSter,51.962944444444,7.6286944444444
MSE,Landkreis Mecklenburgische Seenplatte,Mecklenburgische SEenplatte,53.55,12.98
MSH,Landkreis Mansfeld-Südharz,"Mansfeld, SüdHarz",51.54,11.36
MSP,Landkreis Main-Spessart,"Main, SPessart",49.99,9.66
MST,Landkreis Mecklenburgische Seenplatte,Mecklenburg-STrelitz,53.55,12.98
MTK,Main-Taunus-Kreis,Main-Taunus-Kreis,50.079583333333,8.4495833333333
MTL,Landkreis Leipzig,MuldenTaL,51.116666666667,12.5
MUC,München,MUenChen,48.139722222222,11.574444444444
MÜ,Landkreis Mühldorf am Inn,MÜhldorf,48.241074,12.383252
MÜB,Landkreis Bayreuth,MÜnchBerg,49.88,11.56
MÜL,Landkreis Breisgau-Hochschwarzwald,MÜLlheim,47.999444444444,7.8577777777778
